X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
0.76,606.9405994097654,294.95670655406815,142.97807422051073,7.0,5,0.25,5,29.65,35.96
0.74,562.7024174917146,416.31666547983593,121.6444141727933,7.0,5,0.4,5,42.65,44.22
0.98,685.8777241125297,344.0666539513673,145.94975429774,7.0,5,0.0,0,11.04,18.19
0.68,807.0415312510336,394.84652857315706,150.16170117207804,7.0,2,0.4,1,32.72,41.72
0.74,654.8590697555079,392.5905837076074,122.93727663210773,7.0,4,0.4,5,38.57,40.14
0.64,629.0835289323155,412.20996570791596,169.7388174679058,3.5,2,0.0,0,21.47,29.55
0.66,583.8039123838868,391.0723628724464,107.23369342090504,7.0,4,0.25,5,43.1,47.65
0.82,657.0089603027216,287.86673093454027,222.63896177239386,3.5,2,0.0,0,6.01,13.01
0.76,770.9012744795513,271.96570751312566,168.6624990828172,7.0,5,0.1,4,20.49,26.85
0.94,605.0247306459283,342.36351573486513,219.64626241192056,7.0,3,0.1,4,16.96,25.07
0.98,806.4261768279727,363.30377735518243,145.451914138507,3.5,4,0.1,0,6.01,10.9
0.86,605.9433788712445,335.0344718573096,196.69103588777753,3.5,4,0.1,3,6.01,14.75
0.82,731.6863084331089,269.06058157977515,173.13574702443313,3.5,2,0.0,0,6.01,10.9
0.74,698.3162105624265,346.71104821880937,217.6470422305489,7.0,2,0.4,1,33.65,39.25
0.94,510.49086078325155,322.65204715679806,123.67371418760054,7.0,5,0.0,0,19.92,25.73
0.66,606.5145646833084,313.8480097068016,171.63712594961206,3.5,2,0.4,1,24.34,31.35
0.86,736.0282506700333,265.1695499449113,145.74876740953414,7.0,2,0.4,3,18.87,27.42
0.94,688.5079818267309,247.8944317469853,144.87033769427399,7.0,5,0.1,0,7.61,19.21
0.82,613.6314413474944,296.54220429772994,218.52923640574863,7.0,3,0.25,4,24.54,33.4
0.62,632.227513690193,418.55993207979236,149.53677904480782,3.5,5,0.0,0,23.02,34.07
0.74,688.6980460079184,363.0051130878842,197.82102443698935,3.5,3,0.0,0,9.39,23.06
0.62,637.4688271507597,315.61095312180163,148.95436000162616,7.0,2,0.4,0,40.64,45.49
0.71,660.8793380555917,345.2210224538432,145.10096190964228,3.5,5,0.25,1,16.18,25.65
0.9,588.4623943577554,412.806840081525,149.7792056562932,7.0,3,0.1,0,23.82,33.33
0.9,678.2428302795468,414.7185203412672,193.63346875709115,7.0,5,0.1,5,21.88,28.07
